Wavelength	CoastalAerosol	Blue	Green	Red	NIR	Cirrus	SWIR1	SWIR2	Pan
400	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	0	0	0
403	0	0	0	0	0	0	0	0	0
404	0	0	0	0	0	0	0	0	0
405	0	0	0	0	0	0	0	0	0
406	0	0	0	0	0	0	0	0	0
407	0	0	0	0	0	0	0	0	0
408	0	0	0	0	0	0	0	0	0
409	0	0	0	0	0	0	0	0	0
410	0	0	0	0	0	0	0	0	0
411	0	0	0	0	0	0	0	0	0
412	0	0	0	0	0	0	0	0	0
413	0	0	0	0	0	0	0	0	0
414	0	0	0	0	0	0	0	0	0
415	0	0	0	0	0	0	0	0	0
416	0	0	0	0	0	0	0	0	0
417	0	0	0	0	0	0	0	0	0
418	0	0	0	0	0	0	0	0	0
419	0	0	0	0	0	0	0	0	0
420	0	0	0	0	0	0	0	0	0
421	0	0	0	0	0	0	0	0	0
422	0	0	0	0	0	0	0	0	0
423	0	0	0	0	0	0	0	0	0
424	0	0	0	0	0	0	0	0	0
425	0	0	0	0	0	0	0	0	0
426	0	0	0	0	0	0	0	0	0
427	0.000073	0	0	0	0	0	0	0	0
428	0.000609	0	0	0	0	0	0	0	0
429	0.001628	0	0	0	0	0	0	0	0
430	0.003421	0	0	0	0	0	0	0	0
431	0.008019	0	0	0	0	0	0	0	0
432	0.024767	0	0	0	0	0	0	0	0
433	0.085688	0	0	0	0	0	0	0	0
434	0.254149	0	0	0	0	0	0	0	0
435	0.517821	0	0	0	0	0	0	0	0
436	0.765117	0.00001	0	0	0	0	0	0	0
437	0.908749	0.000061	0	0	0	0	0	0	0
438	0.958204	0.000117	0	0	0	0	0	0	0
439	0.977393	0.000241	0	0	0	0	0	0	0
440	0.98379	0.000349	0	0	0	0	0	0	0
441	0.989052	0.000455	0	0	0	0	0	0	0
442	0.986713	0.000756	0	0	0	0	0	0	0
443	0.993683	0.001197	0	0	0	0	0	0	0
444	0.993137	0.00207	0	0	0	0	0	0	0
445	1	0.003712	0	0	0	0	0	0	0
446	0.996969	0.006869	0	0	0	0	0	0	0
447	0.98278	0.013212	0	0	0	0	0	0	0
448	0.972692	0.02717	0	0	0	0	0	0	0
449	0.905808	0.058606	0	0	0	0	0	0	0
450	0.745606	0.130876	0	0	0	0	0	0	0
451	0.471329	0.27137	0	0	0	0	0	0	0
452	0.226412	0.493542	0	0	0	0	0	0	0
453	0.09286	0.723971	0	0	0	0	0	0	0
454	0.036603	0.85751	0	0	0	0	0	0	0
455	0.014537	0.894222	0	0	0	0	0	0	0
456	0.005829	0.903034	0	0	0	0	0	0	0
457	0.002414	0.910928	0	0	0	0	0	0	0
458	0.000984	0.90988	0	0	0	0	0	0	0
459	0.000255	0.899475	0	0	0	0	0	0	0
460	0	0.897977	0	0	0	0	0	0	0
461	0	0.889667	0	0	0	0	0	0	0
462	0	0.883542	0	0	0	0	0	0	0
463	0	0.877453	0	0	0	0	0	0	0
464	0	0.881011	0	0	0	0	0	0	0
465	0	0.874721	0	0	0	0	0	0	0
466	0	0.879688	0	0	0	0	0	0	0
467	0	0.886569	0	0	0	0	0	0	0
468	0	0.891913	0	0	0	0	0	0	0
469	0	0.88768	0	0	0	0	0	0	0
470	0	0.861157	0	0	0	0	0	0	0
471	0	0.848533	0	0	0	0	0	0	0
472	0	0.840828	0	0	0	0	0	0	0
473	0	0.828339	0	0	0	0	0	0	0
474	0	0.844202	0	0	0	0	0	0	0
475	0	0.865864	0	0	0	0	0	0	0
476	0	0.868497	0	0	0	0	0	0	0
477	0	0.890253	0	0	0	0	0	0	0
478	0	0.912538	0	0	0	0	0	0	0
479	0	0.910385	0	0	0	0	0	0	0
480	0	0.918822	0	0	0	0	0	0	0
481	0	0.931726	0	0	0	0	0	0	0
482	0	0.931813	0	0	0	0	0	0	0
483	0	0.954248	0	0	0	0	0	0	0
484	0	0.955545	0	0	0	0	0	0	0
485	0	0.96242	0	0	0	0	0	0	0
486	0	0.956424	0	0	0	0	0	0	0
487	0	0.953352	0	0	0	0	0	0	0
488	0	0.978564	0	0	0	0	0	0	0.000216
489	0	0.989104	0	0	0	0	0	0	0.000514
490	0	0.985615	0	0	0	0	0	0	0.001013
491	0	0.989469	0	0	0	0	0	0	0.001587
492	0	0.982262	0	0	0	0	0	0	0.002619
493	0	0.968801	0	0	0	0	0	0	0.003841
494	0	0.967332	0	0	0	0	0	0	0.006195
495	0	0.976836	0	0	0	0	0	0	0.009003
496	0	0.988729	0	0	0	0	0	0	0.015515
497	0	0.980826	0	0	0	0	0	0	0.02327
498	0	0.967361	0	0	0	0	0	0	0.042723
499	0	0.954754	0	0	0	0	0	0	0.066556
500	0	0.964132	0	0	0	0	0	0	0.124269
501	0	0.966125	0	0	0	0	0	0	0.196006
502	0	0.966772	0	0	0	0	0	0	0.323232
503	0	0.981834	0	0	0	0	0	0	0.472496
504	0	0.98232	0	0	0	0	0	0	0.598302
505	0	0.965685	0	0	0	0	0	0	0.714816
506	0	0.963135	0	0	0	0	0	0	0.776009
507	0	0.972261	0	0	0	0	0	0	0.816555
508	0	0.996498	0	0	0	0	0	0	0.831881
509	0	1	0	0	0	0	0	0	0.837994
510	0	0.9556	0	0	0	0	0	0	0.848975
511	0	0.844893	0	0	0	0	0	0	0.861668
512	0	0.534592	-0.000046	0	0	0	0	0	0.862705
513	0	0.190738	0.000016	0	0	0	0	0	0.85964
514	0	0.048329	0.00011	0	0	0	0	0	0.858532
515	0	0.013894	0.000247	0	0	0	0	0	0.858244
516	0	0.005328	0.000362	0	0	0	0	0	0.857148
517	0	0.002611	0.000648	0	0	0	0	0	0.855759
518	0	0.001557	0.000935	0	0	0	0	0	0.858455
519	0	0.0011	0.001332	0	0	0	0	0	0.862834
520	0	0.000785	0.001816	0	0	0	0	0	0.860609
521	0	0.000516	0.002515	0	0	0	0	0	0.855993
522	0	0.000321	0.003446	0	0	0	0	0	0.852785
523	0	0.000162	0.00488	0	0	0	0	0	0.850183
524	0	0.000072	0.007024	0	0	0	0	0	0.852788
525	0	0.000057	0.010441	0	0	0	0	0	0.857317
526	0	0.000023	0.016247	0	0	0	0	0	0.85913
527	0	0.000032	0.025513	0	0	0	0	0	0.859876
528	0	-0.000016	0.041451	0	0	0	0	0	0.861508
529	0	0	0.070551	0	0	0	0	0	0.863494
530	0	0	0.123444	0	0	0	0	0	0.860265
531	0	0	0.21168	0	0	0	0	0	0.855102
532	0	0	0.353885	0	0	0	0	0	0.864423
533	0	0	0.545856	0	0	0	0	0	0.879249
534	0	0	0.741205	0	0	0	0	0	0.885593
535	0	0	0.865225	0	0	0	0	0	0.888663
536	0	0	0.927396	0	0	0	0	0	0.894758
537	0	0	0.954627	0	0	0	0	0	0.902017
538	0	0	0.954163	0	0	0	0	0	0.906294
539	0	0	0.959215	0	0	0	0	0	0.90929
540	0	0	0.961328	0	0	0	0	0	0.911734
541	0	0	0.964902	0	0	0	0	0	0.914
542	0	0	0.969873	0	0	0	0	0	0.909776
543	0	0	0.952489	0	0	0	0	0	0.902939
544	0	0	0.961397	0	0	0	0	0	0.908919
545	0	0	0.97827	0	0	0	0	0	0.919859
546	0	0	0.977533	0	0	0	0	0	0.92162
547	0	0	0.977001	0	0	0	0	0	0.919456
548	0	0	0.980884	0	0	0	0	0	0.91302
549	0	0	0.990784	0	0	0	0	0	0.905134
550	0	0	1	0	0	0	0	0	0.892702
551	0	0	0.992264	0	0	0	0	0	0.878599
552	0	0	0.982642	0	0	0	0	0	0.876838
553	0	0	0.983832	0	0	0	0	0	0.879443
554	0	0	0.977765	0	0	0	0	0	0.878303
555	0	0	0.965081	0	0	0	0	0	0.875692
556	0	0	0.957314	0	0	0	0	0	0.872666
557	0	0	0.946245	0	0	0	0	0	0.869478
558	0	0	0.947871	0	0	0	0	0	0.875361
559	0	0	0.959038	0	0	0	0	0	0.884759
