Wavelength	Blue	Green	Red	NIR	SWIR1	SWIR2	PAN
1087	0	0	0	0	0	0	0
1088	0	0	0	0	0	0	0
1089	0	0	0	0	0	0	0
1090	0	0	0	0	0	0	0
1091	0	0	0	0	0	0	0
1092	0	0	0	0	0	0	0
1093	0	0	0	0	0	0	0
1094	0	0	0	0	0	0	0
1095	0	0	0	0	0	0	0
1096	0	0	0	0	0	0	0
1097	0	0	0	0	0	0	0
1098	0	0	0	0	0	0	0
1099	0	0	0	0	0	0	0
1100	0	0	0	0	0	0	0
1101	0	0	0	0	0	0	0
1102	0	0	0	0	0	0	0
1103	0	0	0	0	0	0	0
1104	0	0	0	0	0	0	0
1105	0	0	0	0	0	0	0
1106	0	0	0	0	0	0	0
1107	0	0	0	0	0	0	0
1108	0	0	0	0	0	0	0
1109	0	0	0	0	0	0	0
1110	0	0	0	0	0	0	0
1111	0	0	0	0	0	0	0
1112	0	0	0	0	0	0	0
1113	0	0	0	0	0	0	0
1114	0	0	0	0	0	0	0
1115	0	0	0	0	0	0	0
1116	0	0	0	0	0	0	0
1117	0	0	0	0	0	0	0
1118	0	0	0	0	0	0	0
1119	0	0	0	0	0	0	0
1120	0	0	0	0	0	0	0
1121	0	0	0	0	0	0	0
1122	0	0	0	0	0	0	0
1123	0	0	0	0	0	0	0
1124	0	0	0	0	0	0	0
1125	0	0	0	0	0	0	0
1126	0	0	0	0	0	0	0
1127	0	0	0	0	0	0	0
1128	0	0	0	0	0	0	0
1129	0	0	0	0	0	0	0
1130	0	0	0	0	0	0	0
1131	0	0	0	0	0	0	0
1132	0	0	0	0	0	0	0
1133	0	0	0	0	0	0	0
1134	0	0	0	0	0	0	0
1135	0	0	0	0	0	0	0
